dataset,seed,k,indices,subset,reconstruction_mse,accuracy,balanced_accuracy,macro_f1
fashion_mnist,0,50,"[654, 204, 317, 651, 516, 535, 518, 42, 470, 91, 424, 294, 608, 613, 718, 389, 599, 287, 104, 212, 551, 200, 372, 593, 216, 581, 276, 743, 161, 681, 131, 748, 265, 705, 313, 348, 15, 237, 100, 402, 640, 383, 46, 708, 635, 186, 633, 511, 658, 273]",unsupervised_cae,0.019203750416636467,0.7969285714285714,0.7969285714285713,0.7961086364531802
fashion_mnist,0,50,"[14, 442, 582, 277, 315, 574, 585, 249, 38, 219, 423, 455, 37, 621, 621, 258, 602, 134, 91, 406, 742, 98, 47, 39, 207, 258, 220, 764, 389, 182, 355, 661, 261, 269, 609, 295, 190, 745, 546, 385, 92, 484, 134, 231, 154, 574, 343, 190, 289, 605]",supervised_cae,0.022618534043431282,0.8040714285714285,0.8040714285714285,0.8029540632971081
fashion_mnist,1,50,"[357, 274, 564, 46, 686, 525, 417, 535, 608, 747, 609, 490, 712, 155, 668, 289, 66, 204, 371, 202, 315, 743, 650, 122, 247, 383, 201, 13, 320, 64, 736, 360, 44, 317, 258, 406, 582, 234, 186, 369, 403, 572, 266, 300, 623, 606, 680, 104, 189, 454]",unsupervised_cae,0.019877120852470398,0.7988571428571428,0.7988571428571427,0.7973098589612166
fashion_mnist,1,50,"[92, 649, 746, 207, 191, 231, 355, 417, 608, 415, 220, 574, 400, 248, 326, 390, 63, 574, 317, 17, 745, 407, 257, 313, 190, 155, 126, 13, 38, 770, 630, 770, 261, 692, 63, 45, 764, 268, 289, 70, 385, 580, 434, 261, 454, 546, 524, 537, 209, 551]",supervised_cae,0.0223718099296093,0.8034285714285714,0.8034285714285714,0.8015233158456437
fashion_mnist,2,50,"[14, 202, 524, 709, 127, 455, 606, 712, 38, 537, 204, 669, 287, 292, 743, 678, 609, 424, 525, 723, 316, 380, 234, 662, 301, 456, 161, 434, 611, 69, 658, 77, 567, 340, 214, 355, 558, 552, 387, 450, 75, 602, 628, 239, 389, 747, 294, 220, 317, 652]",unsupervised_cae,0.01913708634674549,0.7955,0.7955,0.7928371624207851
fashion_mnist,2,50,"[63, 546, 580, 70, 11, 733, 742, 317, 742, 546, 633, 12, 190, 343, 362, 47, 412, 770, 764, 289, 249, 152, 260, 501, 257, 621, 406, 546, 92, 462, 567, 305, 45, 163, 134, 404, 214, 126, 357, 202, 400, 736, 378, 744, 17, 442, 91, 287, 154, 417]",supervised_cae,0.022671183571219444,0.8078571428571428,0.8078571428571429,0.806583036107336
fashion_mnist,3,50,"[623, 42, 263, 407, 462, 705, 65, 740, 204, 555, 375, 596, 345, 37, 601, 38, 343, 578, 640, 178, 526, 104, 239, 99, 663, 585, 356, 660, 201, 429, 277, 574, 378, 497, 214, 159, 352, 609, 551, 387, 246, 396, 106, 709, 510, 293, 76, 737, 654, 383]",unsupervised_cae,0.019352370873093605,0.7913571428571429,0.7913571428571429,0.7894127588516284
fashion_mnist,3,50,"[261, 76, 257, 299, 70, 154, 574, 295, 126, 426, 372, 602, 621, 287, 317, 742, 630, 163, 383, 750, 258, 45, 334, 38, 92, 416, 427, 434, 496, 269, 133, 552, 221, 764, 323, 390, 649, 501, 37, 231, 498, 580, 219, 389, 289, 286, 14, 746, 134, 716]",supervised_cae,0.021675188094377518,0.8015,0.8015000000000001,0.7996634780434047
fashion_mnist,4,50,"[76, 102, 743, 211, 341, 417, 92, 248, 181, 445, 608, 709, 690, 747, 189, 404, 735, 658, 679, 554, 240, 262, 480, 258, 191, 353, 597, 627, 347, 511, 173, 637, 344, 244, 301, 668, 570, 523, 290, 705, 42, 45, 378, 214, 574, 441, 129, 103, 640, 287]",unsupervised_cae,0.01964619755744934,0.7958571428571428,0.7958571428571429,0.7938984803477036
fashion_mnist,4,50,"[357, 417, 38, 272, 314, 354, 385, 399, 742, 14, 442, 289, 605, 37, 593, 45, 650, 404, 500, 154, 372, 163, 362, 162, 126, 259, 17, 207, 580, 70, 98, 64, 428, 546, 220, 379, 417, 92, 286, 610, 742, 219, 770, 105, 574, 47, 434, 342, 289, 257]",supervised_cae,0.022666586562991142,0.8048571428571428,0.8048571428571429,0.8029050852987047
fashion_mnist,5,50,"[613, 261, 722, 382, 106, 482, 668, 301, 238, 577, 264, 462, 389, 525, 119, 315, 345, 247, 41, 623, 160, 277, 94, 683, 580, 73, 484, 127, 767, 46, 716, 185, 606, 321, 64, 746, 651, 201, 639, 424, 13, 686, 663, 411, 604, 737, 537, 573, 187, 373]",unsupervised_cae,0.01936732791364193,0.7996428571428571,0.7996428571428572,0.7977756470157034
fashion_mnist,5,50,"[574, 378, 301, 342, 92, 14, 400, 295, 38, 334, 649, 298, 248, 362, 608, 162, 378, 733, 770, 46, 634, 118, 241, 258, 416, 676, 385, 552, 118, 38, 17, 126, 39, 546, 621, 389, 234, 238, 260, 540, 770, 585, 285, 329, 371, 742, 156, 249, 76, 317]",supervised_cae,0.022606266662478447,0.8071428571428572,0.8071428571428572,0.8058837910807432
fashion_mnist,6,50,"[302, 736, 609, 453, 209, 360, 499, 323, 747, 574, 538, 75, 291, 262, 684, 322, 326, 13, 271, 396, 613, 160, 37, 634, 174, 524, 106, 717, 743, 708, 248, 706, 245, 346, 456, 598, 709, 663, 651, 345, 260, 99, 535, 403, 624, 648, 211, 159, 162, 434]",unsupervised_cae,0.019455155357718468,0.7885,0.7885,0.7861333787401528
fashion_mnist,6,50,"[276, 742, 91, 434, 546, 45, 289, 454, 714, 269, 384, 634, 70, 92, 770, 37, 568, 605, 610, 377, 373, 14, 316, 201, 434, 189, 398, 766, 248, 300, 574, 210, 13, 77, 621, 277, 249, 38, 231, 46, 537, 442, 232, 390, 580, 92, 258, 191, 602, 404]",supervised_cae,0.022662458941340446,0.8092857142857143,0.8092857142857142,0.8077537312646017
fashion_mnist,7,50,"[332, 637, 242, 500, 568, 657, 606, 229, 102, 546, 747, 329, 523, 321, 313, 362, 63, 429, 233, 575, 612, 158, 247, 708, 598, 276, 288, 718, 292, 146, 43, 689, 212, 188, 200, 733, 711, 607, 312, 439, 654, 536, 707, 406, 567, 46, 161, 545, 695, 454]",unsupervised_cae,0.019734833389520645,0.7855714285714286,0.7855714285714286,0.7834989397627592
fashion_mnist,7,50,"[258, 580, 258, 258, 248, 13, 269, 289, 372, 249, 11, 238, 742, 362, 176, 602, 537, 378, 37, 490, 314, 416, 744, 546, 247, 260, 611, 289, 269, 92, 417, 342, 770, 574, 540, 189, 334, 229, 708, 343, 210, 317, 97, 118, 621, 151, 301, 45, 621, 163]",supervised_cae,0.023344939574599266,0.7988571428571428,0.7988571428571428,0.7976581714268627
fashion_mnist,8,50,"[686, 105, 583, 156, 635, 742, 709, 355, 374, 682, 694, 102, 662, 374, 45, 551, 98, 291, 204, 64, 320, 344, 444, 735, 692, 398, 509, 599, 211, 428, 191, 668, 340, 496, 637, 217, 273, 13, 574, 573, 146, 271, 745, 397, 378, 305, 581, 629, 289, 39]",unsupervised_cae,0.019884692505002022,0.7917857142857143,0.7917857142857143,0.7900896794811668
fashion_mnist,8,50,"[537, 417, 190, 276, 269, 70, 92, 249, 399, 362, 462, 317, 70, 630, 15, 106, 258, 13, 610, 258, 235, 45, 220, 218, 39, 635, 745, 417, 406, 621, 355, 385, 235, 611, 370, 231, 239, 13, 104, 334, 574, 38, 46, 742, 173, 454, 232, 230, 92, 241]",supervised_cae,0.0240134559571743,0.7912857142857143,0.7912857142857144,0.7885360227923324
fashion_mnist,9,50,"[743, 680, 382, 184, 434, 320, 527, 723, 160, 426, 568, 538, 557, 649, 43, 709, 428, 749, 231, 206, 317, 182, 276, 228, 417, 455, 63, 46, 601, 651, 690, 682, 536, 592, 237, 131, 91, 271, 38, 377, 571, 299, 633, 630, 301, 637, 747, 396, 484, 314]",unsupervised_cae,0.01960945688188076,0.7973571428571429,0.7973571428571429,0.7957353827720598
fashion_mnist,9,50,"[14, 742, 770, 77, 417, 327, 385, 126, 440, 46, 92, 428, 134, 133, 270, 605, 70, 258, 651, 260, 416, 45, 610, 220, 257, 621, 148, 305, 334, 231, 221, 269, 770, 289, 37, 406, 77, 343, 573, 289, 342, 608, 546, 11, 258, 630, 621, 611, 305, 152]",supervised_cae,0.02313280664384365,0.8062142857142857,0.8062142857142856,0.8050057737949008
fashion_mnist,10,50,"[296, 751, 161, 556, 380, 553, 585, 304, 687, 428, 260, 627, 574, 272, 348, 712, 653, 385, 456, 677, 286, 510, 220, 350, 321, 127, 264, 285, 714, 452, 243, 118, 42, 417, 104, 595, 611, 607, 746, 155, 37, 544, 317, 679, 344, 228, 233, 41, 578, 619]",unsupervised_cae,0.019693681970238686,0.7958571428571428,0.7958571428571429,0.7944327904288319
fashion_mnist,10,50,"[38, 76, 70, 229, 235, 745, 239, 258, 92, 45, 134, 238, 453, 133, 440, 351, 582, 770, 38, 580, 770, 399, 317, 260, 638, 163, 658, 462, 443, 258, 14, 567, 605, 269, 370, 412, 305, 574, 406, 248, 416, 258, 173, 765, 580, 362, 289, 649, 98, 404]",supervised_cae,0.022438079118728638,0.8069285714285714,0.8069285714285714,0.805916821703196
fashion_mnist,11,50,"[157, 479, 303, 75, 305, 383, 322, 352, 246, 640, 538, 470, 424, 737, 744, 72, 512, 345, 371, 376, 685, 408, 93, 229, 97, 90, 156, 599, 236, 468, 571, 582, 176, 290, 132, 748, 214, 400, 637, 490, 15, 607, 677, 662, 319, 664, 546, 585, 608, 188]",unsupervised_cae,0.019654538482427597,0.7797857142857143,0.7797857142857143,0.7774717019454407
fashion_mnist,11,50,"[362, 462, 378, 317, 407, 261, 133, 14, 602, 45, 738, 610, 453, 742, 390, 580, 417, 150, 399, 630, 327, 441, 355, 571, 230, 257, 546, 38, 314, 207, 92, 770, 17, 770, 13, 249, 191, 70, 249, 269, 770, 126, 593, 77, 260, 750, 92, 231, 580, 14]",supervised_cae,0.023096133023500443,0.8051428571428572,0.8051428571428572,0.803451041887093
fashion_mnist,12,50,"[91, 485, 98, 479, 201, 663, 277, 746, 613, 596, 288, 322, 216, 658, 407, 318, 182, 712, 630, 716, 577, 737, 331, 592, 733, 668, 369, 191, 237, 355, 373, 455, 446, 623, 132, 184, 546, 340, 398, 102, 580, 598, 650, 707, 93, 274, 554, 46, 443, 681]",unsupervised_cae,0.019175002351403236,0.7973571428571429,0.7973571428571429,0.7956279772568748
fashion_mnist,12,50,"[574, 38, 355, 384, 258, 501, 580, 302, 744, 428, 442, 770, 742, 389, 207, 220, 434, 70, 123, 46, 602, 443, 288, 454, 295, 407, 362, 76, 45, 258, 257, 14, 676, 287, 77, 119, 70, 133, 537, 163, 770, 580, 680, 343, 289, 416, 98, 249, 126, 289]",supervised_cae,0.022602947428822517,0.8050714285714285,0.8050714285714285,0.8035623319469597
fashion_mnist,13,50,"[345, 609, 92, 246, 66, 603, 686, 399, 627, 312, 621, 613, 747, 381, 573, 293, 462, 634, 356, 689, 42, 608, 39, 485, 546, 739, 276, 260, 680, 744, 539, 298, 347, 439, 131, 526, 180, 77, 220, 289, 679, 230, 186, 211, 565, 383, 406, 206, 722, 452]",unsupervised_cae,0.01952870935201645,0.786,0.7859999999999999,0.7839652664989454
